gene_id	gene_symbol	SC1007_mRNA	SC1014_mRNA	SC1015_mRNA	SC1034_mRNA	SC1041_mRNA	SC1055_mRNA	iso_GS_1_mRNA	iso_GS_2_mRNA	iso_MC_1_mRNA	iso_MC_2_mRNA
ENSG00000227232.6	WASH7P	0	0	12.392550904926106	12.0144247912549	0.8088576188610215	6.049249599707195	123.8236887562685	158.5401361547011	94.63185044470286	97.96169311871571
ENSG00000279457.4	WASH9P	23.335194061248053	19.775147249254896	2.859819439598332	13.21586727038039	8.897433807471236	38.71519743812605	69.11089605001033	48.883208647699504	76.27044662707395	70.14540988747545
ENSG00000290385.1	ENSG00000290385	4.516489173144785	4.465355830476912	6.672912025729441	30.036061978137248	2.426572856583064	0.6049249599707195	35.99525835938037	30.386859429651043	40.96005467009527	38.700915799986454
ENSG00000225630.1	MTND2P28	173.13208497055007	102.06527612518656	418.48691132788923	151.38175236981172	247.51043137147258	222.61238526922477	10.078672340626506	9.24817460902423	2.8248313565582945	10.88463256874619
ENSG00000237973.1	MTCO1P12	332.71470242166583	145.44301847839083	5489.900050882265	3433.7226053406503	296.04188850313386	290.36398078594533	67.6710857156351	72.66422907090467	60.73387416600333	68.93600626872588
ENSG00000229344.1	MTCO2P12	33.87366879858588	14.671883442995567	57.19638879196664	38.446159332015675	39.63402332419005	35.085647678301726	0	0	0	0
ENSG00000248527.1	MTATP6P1	1565.716246690192	914.7600372719845	3082.885355887002	819.3837707635842	1565.9483501149375	1419.7588810512786	169.89761945627538	136.0802835327851	170.90229707177681	136.66260891870218
ENSG00000198744.5	MTCO3P12	64107.04732361707	107.16853993144588	108.67313870473662	94.91395585091371	89.78319569357338	117.35544223431957	1.439810334375215	2.6423356025783518	2.8248313565582945	4.837614474998307
ENSG00000291215.1	ENSG00000291215	6.774733759717177	4.465355830476912	0.9532731465327773	14.417309749505879	1.617715237722043	27.221623198682376	53.272982371882954	47.562040846410326	32.485560600420385	55.632566462480526
ENSG00000237491.10	LINC01409	39.1429061672548	54.86008591728777	34.317833275179986	28.834619499011758	48.531457131661284	35.69057263827245	64.79146504688468	62.094886660591264	67.79595255739906	72.5642171249746
ENSG00000225880.6	LINC00115	23.335194061248053	16.585607370342814	34.317833275179986	25.23029206163529	14.559437139498387	24.8019233587995	44.63412036563167	43.5985374425428	39.54763899181612	41.119723037485606
ENSG00000228794.12	LINC01128	677.4733759717177	703.6124972880048	1076.2453824355057	360.43274373764694	719.8832807863091	705.9474282858296	944.515579350141	973.7006695501226	923.7198535945622	878.0270272121927
ENSG00000272438.1	ENSG00000272438	0	7.654895709388992	11.439277758393327	0	3.235430475444086	9.678799359531512	33.115637690629946	35.671530634807745	18.361403817628915	18.14105428124365
ENSG00000230699.2	ENSG00000230699	51.18687729564089	17.223515346125232	139.17787939378547	16.82019470775686	42.06059618077312	80.45501967610569	135.3421714312702	149.29196154567686	153.95330893242703	108.8463256874619
ENSG00000223764.2	LINC02593	246.14865993639077	97.59992029470965	391.79526322497145	93.71251337178822	276.62930565046935	163.93466415206498	600.4009094344647	681.7225854652147	350.2790882132285	322.910766206137
ENSG00000187634.13	SAMD11	831.7867560541645	537.1185156087943	853.1794661468357	385.6630357992823	1237.552156857363	858.3885181984509	2122.2804328690668	2856.364786387198	1319.1962435127234	1167.0744920933414
ENSG00000188976.11	NOC2L	922.1165395170602	954.9482397462767	1009.5162621782112	705.2467352466625	974.6734307275309	775.5137986824624	2639.172342909769	2737.459684271172	3055.0551121177955	3006.5773962114476
ENSG00000187961.15	KLHL17	133.9891788032953	153.73582216356223	129.6451479284577	104.52549568391763	165.00695424764837	157.28048959238706	240.4483258406609	253.66421784752174	230.223755559501	214.06444051867507
ENSG00000188290.11	HES4	200.98376820494292	257.714822216096	480.4496658525198	457.74958454681166	324.3519051632696	382.3125747014947	416.10518663443713	410.88318620093366	408.18813102267353	361.61168200612343
ENSG00000187608.10	ISG15	440.3576943816165	139.06393872056668	203.04718021148156	216.2596462425882	575.9066246290473	91.94859391554935	102.22653374064026	109.6569275070016	45.19730170493271	76.19242798122333
ENSG00000188157.15	AGRN	850.6054609422678	612.3916567511193	1387.9657013517237	279.93609763623914	854.9625031360997	1098.5437273068264	4896.794947210106	5229.182157502558	4776.789823940076	3847.1129112424032
