gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,UP/DOWN,abs_log2FC
ENSG00000161671.17,EMC10,1845.178653037923,7.413037785274285,0.2416119669138498,5.30055958219519e-207,9.58659206035822e-203,Up,7.413037785274285
ENSG00000131409.13,LRRC4B,1627.97809644213,7.645484354376892,0.2728527926606054,1.108414630133491e-172,6.682262333531439e-169,Up,7.645484354376892
ENSG00000287080.2,H3C3,757.0713150012984,5.075650867617632,0.2131948998088096,2.661877719634455e-126,9.628544087461752e-123,Up,5.075650867617632
ENSG00000159176.14,CSRP1,649.7876180637556,5.072347288873246,0.2141469041987791,1.518169432954425e-124,4.576268727402287e-121,Up,5.072347288873246
ENSG00000081665.14,ZNF506,598.9234142266465,5.064950931898312,0.2167780874066693,1.810432256678245e-121,4.677639684897534e-118,Up,5.064950931898312
ENSG00000276410.4,H2BC3,494.9983091854027,4.612062948341457,0.2261173985883397,1.396811948789137e-93,2.806971211755592e-90,Up,4.612062948341457
ENSG00000130226.18,DPP6,796.199445141968,2.9687376582903,0.1501035464942389,3.715942591185693e-88,6.720653770418444e-85,Up,2.9687376582903
ENSG00000130600.22,H19,1264.316799051191,2.65380532710332,0.1490897491296377,5.037330126501243e-72,8.28228660617286e-69,Up,2.65380532710332
ENSG00000189056.15,RELN,2860.14178685749,1.754796423596516,0.0999978975268974,4.028480061248434e-70,5.604545414441476e-67,Up,1.754796423596516
ENSG00000196172.9,ZNF681,305.06662091381,4.275013237880077,0.2512724463652495,9.640958185113037e-66,1.162442464906363e-62,Up,4.275013237880077
ENSG00000154734.16,ADAMTS1,1129.502431954377,1.998922338620392,0.1229412575016218,1.142991230759041e-60,1.216008199971059e-57,Up,1.998922338620392
ENSG00000101958.14,GLRA2,3773.011027408587,1.879301677080965,0.1232999906501562,9.443246909458651e-54,8.988977031814167e-51,Up,1.879301677080965
ENSG00000198759.12,EGFL6,1103.225597064948,1.91897336912379,0.126365391816442,2.750636699277308e-53,2.48740076715647e-50,Up,1.91897336912379
ENSG00000019991.18,HGF,249.7354092174933,4.829135104150955,0.3288961194963707,9.99819232988002e-50,7.233092259128402e-47,Up,4.829135104150955
ENSG00000138735.16,PDE5A,973.2342808396836,1.924396234581289,0.1317214606425006,1.542862397942353e-49,1.073238820353284e-46,Up,1.924396234581289
ENSG00000143869.7,GDF7,723.0660015927037,2.060350246010834,0.1482315599255022,4.327109727997801e-45,2.69862436346787e-42,Up,2.060350246010834
ENSG00000185070.12,FLRT2,2054.642535361446,1.387867404901892,0.1031340027633299,2.001662237026181e-42,1.167808490930823e-39,Up,1.387867404901892
ENSG00000135111.16,TBX3,218.1767650961103,3.565297852056838,0.278833947917748,1.219472683271449e-38,6.301537985613552e-36,Up,3.565297852056838
ENSG00000175426.11,PCSK1,5924.530599082608,1.118024544883081,0.090104289419663,1.965362994757988e-36,9.606906790052154e-34,Up,1.118024544883081
ENSG00000167244.22,IGF2,504.8170955818629,2.187506132043404,0.1770748436037895,2.587967482691225e-36,1.231736312946144e-33,Up,2.187506132043404
ENSG00000125968.9,ID1,2657.716931630666,1.479001736303104,0.1200141477774271,4.631278678977229e-36,2.147725799691851e-33,Up,1.479001736303104
ENSG00000213023.11,SYT3,145.8827625127255,4.59104772396161,0.3796673984948144,1.750524437313747e-34,7.72194755445279e-32,Up,4.59104772396161
ENSG00000186854.11,TRABD2A,571.9951139486643,1.92510444775537,0.161055608528761,4.17525275060973e-34,1.678080472167279e-31,Up,1.92510444775537
ENSG00000130303.14,BST2,184.1081318201746,3.159883888117024,0.2696424471928366,8.50856478216993e-33,3.140528625516844e-30,Up,3.159883888117024
ENSG00000179603.19,GRM8,1586.866720466467,1.397531957356244,0.1201881731159495,2.111236402488611e-32,7.487023838315495e-30,Up,1.397531957356244
ENSG00000137868.19,STRA6,249.1191376948346,2.508044493780238,0.2169069722729076,4.081487621602743e-32,1.366996020820504e-29,Up,2.508044493780238
