gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,UP/DOWN
ENSG00000253537.3,PCDHGA7,215.1392037413325,5.980255974935202,0.6323744153174807,1.841399370236216e-22,1.612697568452878e-18,Up
ENSG00000290588.1,ENSG00000290588,70.75886003401126,5.570619590653171,0.5861754702353142,9.682712211018425e-22,5.653412902939958e-18,Up
ENSG00000253731.3,PCDHGA6,248.1761112691984,5.617540925458291,0.6916675923123944,2.197503776655637e-17,7.698295230380023e-14,Up
ENSG00000274276.6,ENSG00000274276,56.45310387549556,3.390267123655279,0.4428915829323586,1.247885904450956e-15,3.122567071766134e-12,Up
ENSG00000180616.9,SSTR2,3397.4108984631,1.286360312068112,0.169797419182502,1.845369458127388e-15,4.040436428569917e-12,Up
ENSG00000269821.2,KCNQ1OT1,756.2783448714295,1.22025011756425,0.1648362104089369,6.774307179281632e-15,1.318430717247745e-11,Up
ENSG00000137713.16,PPP2R1B,747.2803876836715,0.828073696603384,0.1165221702354643,6.786140399181797e-14,1.188660352320684e-10,Up
ENSG00000249378.8,LINC01060,94.82437389630692,8.6998189191174,1.30334316073546,7.878388728642371e-14,1.254525972462725e-10,Up
ENSG00000254681.7,PKD1P5,226.1848615171037,1.982042986225459,0.2824973749656445,1.093855570643338e-13,1.596664514615725e-10,Up
ENSG00000180346.5,TIGD2,419.7222367219794,0.9496885825936996,0.1370808391132786,2.345725739814869e-13,2.934838004185518e-10,Up
ENSG00000291093.1,SVIL-AS1,329.9721649081408,1.831317434617001,0.2657882141348655,2.628412069375401e-13,3.069284387145301e-10,Up
ENSG00000183426.17,NPIPA1,279.9125532082029,1.236646927040613,0.1855900789386751,1.353303905269884e-12,1.394380659100428e-9,Up
ENSG00000253846.3,PCDHGA10,142.6270080723475,2.85471104750574,0.4312052857711438,1.620569688029321e-12,1.576994369751199e-9,Up
ENSG00000007062.12,PROM1,390.9856542760712,1.42992813766603,0.2174541523079581,2.38367078062538e-12,2.197493547022851e-9,Up
ENSG00000187627.18,RGPD1,40.90357537081806,5.083234888626735,0.7676818669556084,6.004932299132418e-12,5.00868543579064e-9,Up
ENSG00000112599.9,GUCA1B,77.57144409567405,1.882935687151845,0.2938351424892187,7.779622155714575e-12,5.93354324467907e-9,Up
ENSG00000003096.15,KLHL13,1312.263425522561,1.026691429428717,0.1602506122137334,7.791247695114102e-12,5.93354324467907e-9,Up
ENSG00000117335.21,CD46,1867.197725743872,0.8099092600157284,0.1313529526123461,3.96195117820004e-11,2.775901473494077e-8,Up
ENSG00000004779.10,NDUFAB1,795.2021783129562,0.9046713247731916,0.1490123644034921,6.867204344863758e-11,4.626382742485907e-8,Up
ENSG00000105963.15,ADAP1,242.7185040557841,1.8235204640763,0.3018357605121955,7.132400678113602e-11,4.627078899179181e-8,Up
ENSG00000125534.10,PPDPF,3632.803025316276,1.476661710078656,0.2457144449276644,8.874571642266074e-11,5.551678460211877e-8,Up
ENSG00000162078.12,ZG16B,38.57385587432875,2.819215366367172,0.4696247669633692,1.176139078307343e-10,7.103880032976351e-8,Up
ENSG00000268916.6,CSAG3,31.27636465318333,9.06844089733861,2.802846866012285,1.661720078306135e-10,9.702229630536756e-8,Up
ENSG00000109046.15,WSB1,2979.463905358045,0.9709639036020044,0.1669985396505567,3.166531259674262e-10,1.7332800482642e-7,Up
ENSG00000203930.13,LINC00632,1252.780290659653,0.700062482834314,0.1207411351960092,4.002303101138498e-10,2.06189238586888e-7,Up
ENSG00000130511.16,SSBP4,731.0270425977332,1.035861175552163,0.1811697546064701,5.498376000607828e-10,2.751701543618477e-7,Up
ENSG00000169248.13,CXCL11,52.85546607968693,5.154602908585575,0.8986075066805254,7.006787064234593e-10,3.409191172698143e-7,Up
ENSG00000006071.16,ABCC8,538.9177888603538,1.039504061476053,0.1839611893503204,7.981759879095081e-10,3.778608271411606e-7,Up
ENSG00000221946.8,FXYD7,197.7377512945661,1.754331884960181,0.3118016885719261,8.335056104303807e-10,3.842022176920672e-7,Up
ENSG00000116745.7,RPE65,81.43225477639695,4.050926066494749,0.7211739176781472,9.636684225539835e-10,4.219904022363893e-7,Up
ENSG00000105397.15,TYK2,809.4973644514151,0.5825287526779619,0.1035820274177398,1.255501070031186e-9,5.287342191137311e-7,Up
ENSG00000255085.9,ENSG00000255085,45.67546760560475,6.693273219369045,1.110510495505328,1.270898594519961e-9,5.287342191137311e-7,Up
ENSG00000145335.17,SNCA,10249.78589724395,0.949878905944682,0.1710769160319278,1.618083562201564e-9,6.441443562618769e-7,Up
ENSG00000180902.18,D2HGDH,240.1963615328597,1.40794863595632,0.2621933949657934,3.74163048740469e-9,1.339016004828484e-6,Up
ENSG00000290885.1,ENSG00000290885,36.73101482646216,7.192014604698999,1.380526275500636,3.745820063747187e-9,1.339016004828484e-6,Up
ENSG00000076716.9,GPC4,845.0611892955133,1.286241880793683,0.2415752587286727,4.759882889898714e-9,1.634786445087566e-6,Up
ENSG00000131584.19,ACAP3,2732.998021093248,0.8777209798440607,0.1644028924340647,4.91576484448038e-9,1.655856481075353e-6,Up
ENSG00000125618.18,PAX8,47.64894728175717,6.158913586928453,1.126430251842991,7.700395873033151e-9,2.544908190793371e-6,Up
ENSG00000173275.13,ZNF449,220.3757442491493,1.133158369467508,0.2168573322733708,8.350464444306893e-9,2.708643244564436e-6,Up
ENSG00000008710.20,PKD1,3613.731234439004,0.8528822506173086,0.1629552838149897,8.779671880527711e-9,2.796086048351334e-6,Up
ENSG00000184967.7,NOC4L,301.0403383054978,0.7479785201869703,0.1427662916083685,9.163063446245224e-9,2.866075345079131e-6,Up
ENSG00000158106.14,RHPN1,569.9011529847759,1.158779844408896,0.2239178682431689,1.09181187701239e-8,3.35511874346474e-6,Up
ENSG00000171163.16,ZNF692,408.0947100986472,0.8425441064263,0.1623871772258304,1.127345629044519e-8,3.374325852252053e-6,Up
ENSG00000171222.11,SCAND1,394.8233714129589,1.611322397921148,0.3124982599074044,1.136590690128289e-8,3.374325852252053e-6,Up
ENSG00000253230.11,MIR124-1HG,413.0062750506859,0.8693637214976556,0.1678182479292656,1.157086134325347e-8,3.377920121473797e-6,Up
ENSG00000215252.12,GOLGA8B,1160.707196830428,1.221556649801218,0.2370254629742364,1.207390118411717e-8,3.4669910350983e-6,Up
ENSG00000205746.10,PKD1P4,107.2218002306204,2.345711577063472,0.4576141833429924,1.307548889534362e-8,3.694036507916755e-6,Up
