gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000112619.8	PRPH2	96.50592199989877	-6.035712940188882	0.5835845725502693	-10.34248200532918	4.5265924279617655e-25	7.928779296817828e-21
ENSG00000253537.3	PCDHGA7	215.13920374133255	6.110176456495332	0.6266731408116464	9.750180849591915	1.8413993702362164e-22	1.6126975684528783e-18
ENSG00000290588.1	ENSG00000290588	70.75886003401126	5.69277700697507	0.59422120097759	9.580232071170686	9.682712211018425e-22	5.653412902939958e-18
ENSG00000293514.1	CUTALP	679.2501422975213	-1.1304567395795722	0.11851000095247848	-9.538914273006174	1.4433543568427042e-21	6.3204487286142015e-18
ENSG00000253731.3	PCDHGA6	248.1761112691984	5.780968109500187	0.6814891759083703	8.482846557019224	2.1975037766556363e-17	7.6982952303800245e-14
ENSG00000115414.21	FN1	480.15810764839955	-2.724356464264798	0.3329756347091482	-8.181849301509715	2.7952048961800817e-16	8.160134826915053e-13
ENSG00000274276.6	ENSG00000274276	56.453103875495565	3.5014502730067676	0.4377012555512516	7.999634976136762	1.2478859044509558e-15	3.122567071766134e-12
ENSG00000180616.9	SSTR2	3397.4108984631002	1.3279790956178616	0.16701369821101028	7.951318423834024	1.845369458127388e-15	4.0404364285699165e-12
ENSG00000269821.2	KCNQ1OT1	756.2783448714295	1.2621506191327703	0.16205053427086882	7.788623621709725	6.774307179281632e-15	1.318430717247745e-11
ENSG00000137713.16	PPP2R1B	747.2803876836715	0.858284517431133	0.1145610049829026	7.4919429832099125	6.786140399181797e-14	1.1886603523206836e-10
ENSG00000249378.8	LINC01060	94.82437389630691	9.02778738660747	1.208161425359968	7.472335399152202	7.878388728642371e-14	1.2545259724627251e-10
ENSG00000254681.7	PKD1P5	226.18486151710368	2.0583126348879874	0.27706293048525243	7.429043760141517	1.0938555706433379e-13	1.5966645146157257e-10
ENSG00000183793.14	NPIPA5	41.37664768892128	-3.3208355475288247	0.4517331914938991	-7.351320669058418	1.9625794855900302e-13	2.6443494053534594e-10
