gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000148677.7	ANKRD1	241.4028876003544	3.097742386212111	0.48598847106230264	7.724136929842473e-12	1.592562552194921e-7
ENSG00000099860.9	GADD45B	777.0961317662542	2.0012795614216654	0.3506914975202669	4.986599340082771e-10	5.1406852596913286e-6
ENSG00000273079.7	GRIN2B	2969.0448705751965	-2.108224361489057	0.39572737006041137	4.009566738133161e-9	2.7556415668943173e-5
ENSG00000205622.13	ETS2-AS1	541.4215268772962	3.51155849543952	0.834138319159325	9.190360752457678e-7	0.00473717144985431
ENSG00000128342.5	LIF	175.67712763049587	2.2242717652399353	0.5637871236305542	2.9995348499859357e-6	0.012368881907402006
ENSG00000102755.13	FLT1	148.92195613353692	3.3364502975460266	0.8645739625165285	3.859059308570416e-6	0.013261014137350806
ENSG00000149591.17	TAGLN	1968.9141632943958	2.3605133244260497	0.6682520063601702	1.4400704248149993e-5	0.03711421502354457
ENSG00000268104.3	SLC6A14	80.12059977452336	4.465477235822426	1.266086985631429	1.3238987469502549e-5	0.03711421502354457
ENSG00000204969.7	PCDHA2	322.7480175695002	-1.2826214036050612	0.36754302087193114	1.6643528784098956e-5	0.03725604093704739
ENSG00000078401.7	EDN1	131.0640457777953	2.3718731763154834	0.685554242364453	1.806966773549684e-5	0.03725604093704739
