gene_id	gene_symbol	SC1007_mRNA	SC1014_mRNA	SC1015_mRNA	SC1034_mRNA	SC1041_mRNA	SC1055_mRNA
ENSG00000227232.6	WASH7P	0	0	15.190000651034135	14.479662491700374	0.9878693269949901	7.3506921923619775
ENSG00000279457.4	WASH9P	28.85459024126561	24.662766485505276	3.505384765623262	15.927628740870412	10.86656259694489	47.044430031116654
ENSG00000225630.1	MTND2P28	214.08244372551903	127.29169798970466	512.9546373695373	182.4437473954247	302.28801406046694	270.50547267892074
ENSG00000237973.1	MTCO1P12	411.4106092464322	181.39066963532915	6729.170288408121	4138.287540127967	361.5601736801664	352.8332252333749
ENSG00000229344.1	MTCO2P12	41.88569551151459	18.298181586020046	70.10769531246524	46.334919973441195	48.40559702275451	42.634014715699465
ENSG00000248527.1	MTATP6P1	1936.0499258655634	1140.851843232728	3778.804777341876	987.5129819339655	1912.5150170623008	1725.207457547356
ENSG00000198744.5	MTCO3P12	79270.07494539175	133.6562828891899	133.20462109368395	114.38933368443296	109.6534952964439	142.60342853182235
ENSG00000237491.10	LINC01409	48.401248146639084	68.41928766946626	42.06461718747914	34.7511899800809	59.2721596196994	43.36908393493567
ENSG00000225880.6	LINC00115	28.85459024126561	20.684900923327007	42.06461718747914	30.407291232570785	17.78164788590982	30.137837988684105
ENSG00000228794.12	LINC01128	837.7139102302918	877.5171430165265	1319.1931334628875	434.38987475101123	879.2037010255411	857.8257788486427
ENSG00000272438.1	ENSG00000272438	0	9.546877349227849	14.021539062493048	0	3.9514773079799603	11.761107507779164
ENSG00000230699.2	ENSG00000230699	63.29393988406649	21.48047403576266	170.59539192699873	20.271527488380524	51.36920500373948	97.7642061584143
ENSG00000223764.2	LINC02593	304.3693873836727	121.72268620265508	480.23771289038683	112.94136743526292	337.8513098322866	199.20375841300958
ENSG00000187634.13	SAMD11	1028.5265231160804	669.8725606708208	1045.773121744273	464.79716598358203	1511.4400703023348	1043.0632220961645
ENSG00000188976.11	NOC2L	1140.221711146786	1190.9729493161742	1237.4008222650114	849.956188262812	1190.382539028963	942.3587390608054
ENSG00000187961.15	KLHL17	165.68119557887994	191.73312009699265	158.91077604158787	125.97306367779326	201.52534270697797	191.1179970014114
ENSG00000188290.11	HES4	248.5217933683199	321.4115374240043	588.904640624708	551.6751409337843	396.135600124991	464.56374655727694
ENSG00000187608.10	ISG15	544.5140416496897	173.4349385109726	248.88231835925157	260.6339248506067	703.3629608204329	111.73052132390205
ENSG00000188157.15	AGRN	1051.796353955811	763.750187938228	1701.280072915823	337.37613605661875	1044.1778786337045	1334.885702132935
ENSG00000291156.1	ENSG00000291156	436.542026553341	348.4610232468165	521.1338684893249	712.3993945916584	616.4304600448738	548.3616375502035
ENSG00000273443.1	ENSG00000273443	8.377139102302918	47.73438674613925	3.505384765623262	21.71949373755056	4.93934663497495	11.761107507779164
ENSG00000217801.13	ENSG00000217801	7.446345868713705	13.52474291140612	12.85307747395196	5.791864996680149	12.84230125093487	11.026038288542965
ENSG00000131591.18	C1orf159	114.48756773147322	93.08205415497153	140.21539062493048	97.01373869439252	108.66562596944891	139.66315165487757
ENSG00000078808.20	SDF4	4361.697092599053	2728.020202541858	1931.4670058584172	1449.4142154192075	3444.7003432315305	3418.0718694483194
ENSG00000176022.7	B3GALT6	1492.0615534435087	1587.16835930913	1674.405456379378	975.9292519406052	1747.5408394541373	1980.2764766223165
ENSG00000160087.21	UBE2J2	992.2255870061011	774.8882115123271	872.8408066401922	741.3587195750591	974.0391564170602	947.5042235954588
ENSG00000162572.21	SCNN1D	40.95490227792538	6.364584899485233	37.39077083331479	21.71949373755056	39.5147730797996	10.290969069306769
ENSG00000131584.19	ACAP3	1067.6198389268275	992.8752443196963	1637.0146855460632	687.7839683557678	1224.9579654737877	1370.9040938755088
ENSG00000169972.13	PUSL1	161.95802264452308	134.45185600162554	144.88923697909482	123.07713117945319	150.1561377032385	111.73052132390205
ENSG00000127054.22	INTS11	1083.443323897844	969.8036240590624	1127.5654329421493	802.1733020402007	1176.552368451033	966.6160232956
ENSG00000240731.1	ENSG00000240731	15.823484971016622	25.45833959794093	25.70615494790392	0	15.805909231919841	14.701384384723955
ENSG00000224051.7	CPTP	327.639218223403	246.62766485505279	275.7569348956966	149.14052366451386	303.27588338746193	371.20995571427983
ENSG00000169962.5	TAS1R3	27.923797007676395	20.684900923327007	23.369231770821745	7.239831245850187	21.73312519388978	19.11179970014114
ENSG00000107404.21	DVL1	1767.5763505859156	1541.025118787862	1520.1685266919544	660.2726096215371	1795.946436476892	1671.5474045431135
ENSG00000162576.17	MXRA8	1184.8997863590682	955.4833080352206	512.9546373695373	414.1183472626307	1198.285493644923	668.1779202857037
ENSG00000175756.14	AURKAIP1	1952.8042040701691	1793.2217954299645	1572.7492981763035	2021.3608838413722	2141.7007009251383	1347.3818788599503
ENSG00000221978.13	CCNL2	1604.6875347078035	1148.012001244649	1375.2792897128597	1725.9757690106846	1354.3688473101313	1668.6071276661687
ENSG00000224870.9	MRPL20-AS1	1203.5156510308525	878.3127161289622	780.5323411454463	1087.4226531266982	1145.9284193141884	1023.9514223960234
ENSG00000242485.6	MRPL20	4147.614648873534	4981.878830072066	3505.384765623262	5438.561231882661	4536.295949560994	3884.1057544440687
ENSG00000272455.1	MRPL20-DT	82.84059778943997	38.98308250934705	100.4876966145335	101.35763744190263	83.96889279457416	132.3124594625156
ENSG00000235098.9	ANKRD65	256.8989324706228	16.707035361148737	28.043078124986096	11.583729993360299	436.6382425317856	107.32010600848487
ENSG00000205116.4	TMEM88B	67.01711281842334	35.00521694716878	30.38000130206827	34.7511899800809	145.21679106826355	36.753460961809886
ENSG00000179403.12	VWA1	1577.6945309337164	613.3868696878893	696.403106770488	392.39885352508014	2164.421695446023	738.0094961131425
ENSG00000215915.10	ATAD3C	22.339037606141115	25.45833959794093	5.842307942705436	5.791864996680149	44.45411971477455	11.026038288542965
ENSG00000160072.20	ATAD3B	717.6415830972833	497.2331952722838	766.5108020829532	1110.5901131134187	727.0718246683127	943.8288774992778
ENSG00000197785.14	ATAD3A	317.4004926539217	400.96884866756966	348.201553385244	159.27628740870412	410.95364002991585	244.77805000565382
ENSG00000205090.10	TMEM240	102.38725569481345	101.03778527932808	70.10769531246524	66.60644746182172	69.1508528896493	123.49162883168121
ENSG00000160075.12	SSU72	3564.007291413097	3852.960583525873	3485.520918618063	3716.929361619486	3938.6350067290255	3749.5880873238443
