gene_id	gene_symbol	SRR36692424	SRR36692425	SRR36692426	SRR36692427	SRR36692428	SRR36692429	SRR36692433	SRR36692434	SRR36692435	SRR36692440	SRR36692441	SRR36692445	SRR36692446	SRR36692447	SRR36692448	SRR36692449	SRR36692450	SRR36692454	SRR36692455	SRR36692456	SRR36692460	SRR36692462	SRR36692469	SRR36692470
ENSG00000000003.16	TSPAN6	2165.524109359102	2002.8762573718054	2257.8249760997137	2594.7131007690764	2434.845252479802	2353.4593976044903	3705.8360761118024	3268.7761638086245	3705.63744691282	3476.733847344571	3268.0128968779095	2940.9696025974886	3105.455223991561	3523.8602873683744	3158.9126180901826	3066.051682094231	2900.004665624817	2371.20203695042	2824.560549987218	2567.111734913497	3089.4790222316738	2697.23868830478	2966.169594247959	3028.821748133414
ENSG00000000005.6	TNMD	9.696376609070606	9.952180160853692	5.017388835777142	19.355928117240854	8.536660409940872	36.001928461938384	165.10701734451607	201.96488239523694	176.53569738392594	20.074969887229567	21.926840795378762	29.365203293711687	16.12385889922929	15.657507811098371	7.530185025244774	22.12797114675398	2.6355692205011967	7.57303702361738	35.276596016205566	9.934642936971738	14.672503519058113	37.51954898723805	3.9707758959142696	34.67768196115388
ENSG00000000419.14	DPM1	560.235092968524	614.5471249327154	634.6996877258084	583.7340426936321	398.3774857972407	438.6901653325084	433.6327158828499	473.51430410311855	463.5069680171572	607.2678390886945	455.8955648705834	379.07807888246	480.4909951970328	416.30550180096844	620.2989914545383	557.6248728982002	585.9748900247661	545.2586657004514	462.24505124683157	604.0262905678816	729.9570500731411	822.9287744534214	838.8264080118895	882.4557488535737
ENSG00000000457.14	SCYL3	300.5876748811888	347.0822831097725	341.18244083284566	347.3879730515332	414.5022887937957	421.355903480464	274.8759684361998	259.6691345081618	270.8492891369823	368.8775716778433	275.91274667518275	182.42020227911806	233.25849207551707	272.6248418873599	377.4505243903943	361.12848911502493	292.5481834756328	317.22610643375026	270.04842467578055	284.1307879973917	332.88242358863096	170.92238983075114	220.37806222324195	280.15916742300635
ENSG00000000460.17	FIRRM	298.43292452361754	303.5414949060376	308.5694134002942	311.732315993458	298.7831143479305	264.0141420542148	271.2472427802764	201.96488239523694	214.42235390011098	340.01980246495083	306.0621527688286	340.81432913610837	349.35027614996795	323.2814848056193	318.1503173165917	355.81777603980396	337.3528602241532	419.88283053167476	564.4255362592891	404.3399675347497	453.01354615091924	386.86823844618795	438.7707364985268	463.5858535859519
ENSG00000001036.14	FUCA2	716.4544938924392	775.0260300264813	920.6908513651055	803.7803833948965	765.4538834246982	673.3694027140327	1301.8053290625305	1597.8986283623158	1575.117592183522	1519.424283339688	1573.2508270684261	2296.7148394263595	2356.2332471407067	2239.9446468583083	1183.1803220915851	1166.5866388568697	1161.4075031675272	1995.9159800022694	2122.677932699266	1899.503729548996	1331.5296943545238	1499.9481917342503	1472.1651634102154	1430.91066618656
ENSG00000001084.13	GCLC	605.4848504775201	568.5182916887671	584.525799368037	420.736753285288	352.848630277556	397.35461783917174	353.80075145253437	398.83821313345106	422.39591520172235	451.6868224626653	299.66682420350975	378.188224237196	335.3762651039692	286.4402899559761	563.8226037652024	485.93024638271737	523.5997518062377	396.32227090264286	372.22890968823805	377.516431604926	424.58557058274414	415.2163421254345	449.69037021229104	454.46014780670083
ENSG00000001167.15	NFYA	1019.1969191311993	967.8495206430215	1011.0038504090941	1349.821302912849	1169.5224761618995	1268.0679247149408	953.4476660938811	1074.3173996318064	848.822325777507	858.2049626790641	1081.7241459053523	606.8808680700415	758.8962921903919	631.8264916713813	995.8669695886214	1017.0015539048128	1112.210211051505	1050.9692491664564	909.8928903490264	865.3073998102383	934.4550678700135	807.0871871032542	784.2282394430682	640.6245457034216
ENSG00000001460.18	STPG1	230.5582882601233	204.01969329750068	252.12378899780137	297.47005317022786	285.5038648213558	245.34647544432082	532.5154900067633	532.0671481588805	477.2106522889688	205.76844134410308	272.2582732092863	492.97947347625075	529.937495821336	444.85742780944196	195.78481065636413	246.9481579977744	243.3508913596105	408.9439992753385	315.0564954550773	342.7451813255249	288.8649130314566	277.6446625055616	196.55340684775635	317.57456111793556
ENSG00000001461.17	NIPAL3	411.55731829610795	490.14487292204433	442.78456475733276	378.9686978743999	367.0763976274575	389.35418929207435	1123.0905905083016	1162.570961686868	1050.3470944806188	299.8698626904917	374.5835302543872	1366.8167351254895	1395.2512567466413	1269.1791625702092	307.79631290688013	253.14398991886551	260.04282975611807	577.2337109112802	552.2611928054251	573.2288974632692	486.0266790688	477.74892377083125	460.61000392605524	427.9956010468729
ENSG00000001497.18	LAS1L	220.8619116510527	278.6610445039034	280.9737748035199	393.23096069762994	347.1575233375955	254.6803087492678	264.89697288241035	252.0318070226276	328.08232344866605	345.0385449367582	422.0916853110412	309.6694165518687	384.8227657282724	355.5175302990571	417.92526890108496	535.4969017514462	593.0030746127692	318.9090035501097	317.4893641458501	348.70596708770796	465.85198673009506	436.0605360072334	484.4346593015409	447.1595831833
