gene_id	gene_symbol	SRR36692424	SRR36692425	SRR36692426	SRR36692427	SRR36692428	SRR36692429	SRR36692445	SRR36692446	SRR36692447	SRR36692460	SRR36692462	SRR36692469	SRR36692470
ENSG00000000003.16	TSPAN6	2074.506253234707	1927.1024590147902	2173.6591225795178	2517.9978697675706	2356.79187113257	2293.7668511768375	2862.6818846785654	3011.5140847006633	3427.4236150371817	2941.6355158572746	2595.3133105941524	2843.58951813481	2891.2159511900495
ENSG00000000005.6	TNMD	9.288833969707644	9.575664392620075	4.830353605732262	18.78365116827006	8.263002275104453	35.08878469222358	28.58351049754695	15.636106358778106	15.229012403458466	13.970367543400533	36.101730750150494	3.806679408480335	33.10220130919611
ENSG00000000419.14	DPM1	536.6881849164416	591.2972762442896	611.0397311251311	566.4753747062497	385.6067728382078	427.5633393978354	368.9871355137879	465.95596949158755	404.91256508018984	695.0257852841765	791.8312944533009	804.1610250414707	842.3639122629642
ENSG00000000457.14	SCYL3	287.953853060937	333.95129569262514	328.4640451897938	337.11710780947845	401.2146660245162	410.66873936083886	177.56423187870075	226.20233865698995	265.1639806719827	316.9527136408996	164.46344008401894	211.27070717065857	267.4309421558738
ENSG00000000460.17	FIRRM	285.88966773433526	292.0577639749123	297.06674675253413	302.5156451310862	289.2050796286559	257.3177544096395	331.74195516849943	338.7823044401923	314.434314918466	431.33509790249144	372.24895706821843	420.638074637077	442.52416487030587
ENSG00000001036.14	FUCA2	686.3416210950647	745.7048645752883	886.36988665187	780.0158300928988	740.9158706676993	656.2902322064039	2235.576987702081	2284.956342562774	2178.6445979535874	1267.8108545635985	1443.2669693226833	1411.3263906940842	1365.9013592847236
ENSG00000001084.13	GCLC	580.0360767750773	547.0098284284218	562.7361950678085	408.29725960502816	341.53742737098406	387.2762162326898	368.12096852901374	325.2310122625846	278.6013445573872	404.26751078715296	399.5258203016655	431.1064430103979	433.8130592626227
ENSG00000001167.15	NFYA	976.3596594826034	931.2333621823022	973.3162515550507	1309.912515681991	1132.03131168931	1235.904971937208	590.7258836159702	735.9394059531562	614.5354416925005	889.7377829203215	776.588341469904	751.8191831748661	611.5196136593597
ENSG00000001460.18	STPG1	220.86782994638176	196.30112004871154	242.72526868804616	288.67506005972933	276.3515205340489	239.1235697544125	479.8565095648791	513.9066956585071	432.6831171100258	275.041611010698	267.15280755111365	188.43063071977656	303.1464751473749
ENSG00000001461.17	NIPAL3	394.25939738092444	471.6014713365387	426.2787057058721	367.7641176103401	355.30909782949146	379.4787085233068	1330.4324886130944	1353.0444035795988	1234.4458289391628	462.76842487514267	459.6953715519163	441.57481138371884	408.5508530003415
ENSG00000001497.18	LAS1L	211.5789959766741	268.1186029933621	270.4998019210067	381.604702681697	336.0287591875811	248.22066208202602	301.4261107014042	373.18173842950415	345.7881639844099	443.55916950296694	419.58233738508244	464.41488783460085	426.84417477647617
ENSG00000001561.7	ENPP4	445.8640305459669	406.9657366863532	495.1112445875568	474.5343453036647	326.8476455485761	476.9475548905945	924.200172754018	995.4987715088728	937.0321749422092	399.90177092984027	389.8986921016254	373.0545820310728	325.7953497273512
ENSG00000001617.12	SEMA3F	99.08089567688154	95.75664392620075	107.47536772754283	354.91214575836585	425.0855614859291	269.0140159737141	409.69698379817294	349.20637534604435	311.74684214138506	260.19809549583493	295.23193146789737	295.96932400934605	236.94207252898266
ENSG00000001626.18	CFTR	52.636725828343316	44.28744781586785	62.79459687451941	5.931679316295808	4.590556819502474	1.2995846182305026	6.06316889341905	1.0424070905852072	17.91648518053937	66.35924583115253	55.35598715023076	47.583492606004185	68.81773430069717
ENSG00000001629.10	ANKIB1	1923.8207243927832	1799.0279477634965	1795.6839529309684	1392.9560261101324	1572.7247663615476	1796.0259423945547	1829.3446718430048	1899.2657190462473	1905.4181989503622	1286.1469619643117	1384.7019394391057	1350.4195201583989	1260.4969814317571
ENSG00000001630.18	CYP51A1	102.17717366678409	120.89276295682845	74.87048088885005	99.84993515764612	100.99225002905443	127.35929258658926	81.41969656877009	79.22293888447574	105.70726256518229	80.32961337455306	76.21476491698438	103.73201388108912	66.20440261839222
ENSG00000001631.17	KRIT1	81.53532040076709	90.96881172989072	85.73877650174765	27.68117014271377	37.64256591992029	66.27881552975563	33.780512406191846	34.39943398931183	52.853631282591145	50.642582344826934	43.3220769001806	52.341841866604604	58.36440757147735
ENSG00000002016.18	RAD52	110.43391497319088	87.37793758265819	84.53118810031458	132.47417139727307	111.09147503195987	149.4522310965078	105.67237214244629	99.02867360559468	104.81143830615532	89.0610930891784	101.08484610042139	82.79527713444728	81.01328215145364
ENSG00000002330.14	BAD	222.93201527298345	202.2859102940991	322.4261031826285	509.1358079820569	430.59422966933204	376.8795392868458	614.1123922048723	612.9353692641017	718.4510557396288	392.91658715814	434.02302968514266	384.4746202565138	553.1552060878823
