gene_id	gene_symbol	SRR11652312	SRR11652316	SRR11652320	SRR11652324	SRR11652328	SRR11652332
ENSG00000000003.16	TSPAN6	430.0520361404913	449.24661655539506	892.483138624219	638.0114402962474	278.047464932914	987.229235585453
ENSG00000000005.6	TNMD	3.4404162891239305	9.337689489604054	25.037988504389855	10.397223471494403	17.11061322664086	9.236032349552055
ENSG00000000419.14	DPM1	512.6220270794656	526.0231745810283	543.5666536598185	602.0937592129031	536.8454899858571	628.0501997695397
ENSG00000000457.14	SCYL3	399.08828953837593	344.4569900609496	362.64699478938854	386.58767271283733	339.0040245528221	401.25429429720594
ENSG00000000460.17	FIRRM	80.27638007955838	77.81407908003379	71.07558027052603	69.94495789914416	76.99775951988389	90.30787186228676
ENSG00000001036.14	FUCA2	739.689502161645	659.8633905986865	711.5634797537891	929.1336974980907	586.0385030124495	1035.4618489664472
ENSG00000001084.13	GCLC	553.9070225489528	613.1749431506662	655.8337634053084	508.5187479694535	491.9301302659248	818.9282016602822
ENSG00000001167.15	NFYA	772.9468596231764	824.8292382483581	813.3307878684059	868.6407609366687	870.5024479053538	1143.215559711221
ENSG00000001460.18	STPG1	740.836307591353	793.7036066163446	839.1764534213245	828.9422713182356	834.1423947987421	914.3672026056535
ENSG00000001461.17	NIPAL3	1711.0337011243014	1640.3207870071121	1718.7367592690841	1982.088874520342	2143.104306636768	2254.6181191073183
ENSG00000001497.18	LAS1L	916.2975383366735	900.568275219591	859.3683796345421	734.4220579410137	624.5373827723915	543.8996828069544
ENSG00000001561.7	ENPP4	735.1022804428131	824.8292382483581	814.1384649169346	707.0111960616193	618.1209028124011	890.7640088234649
ENSG00000001617.12	SEMA3F	982.8122532597362	932.731427906005	949.0205320212284	1090.7632623731402	855.5306613320431	984.1505581356023
ENSG00000001629.10	ANKIB1	2596.3674928588594	2544.001625389905	2586.989586437442	2468.8679734130346	3249.947099735099	5715.051572739489
ENSG00000001630.18	CYP51A1	121.56137554904554	137.99030023525992	151.03560807486784	109.64344751757734	144.3707990997823	68.75712971333196
ENSG00000001631.17	KRIT1	91.74443437663814	65.36382642722837	79.15235075581309	56.712128026333104	59.88714629324302	60.54732318039681
ENSG00000002016.18	RAD52	295.875800864658	265.60538992651533	285.10999813063285	243.86215051323236	218.160318639671	168.30103392517077
ENSG00000002330.14	BAD	1566.5362169810962	1305.2014864357668	1393.242908712016	1345.967838491639	934.6672475052571	801.482362777795
ENSG00000002549.13	LAP3	358.9500994985967	452.3591797185964	466.8373340495915	470.71066261856475	374.2946643327689	512.0866824918306
ENSG00000002587.10	HS3ST1	147.937900432329	172.2284950304748	154.26631626898265	133.2735008618828	312.26869138619577	185.746872807658
ENSG00000002746.15	HECW1	1685.803981670726	1629.9455764631077	1621.0078363971109	1508.5426055004607	2443.6094514296483	1734.3216300825525
ENSG00000002822.16	MAD1L1	41.284995469487164	42.53836323041847	20.191926213217624	20.794446942988806	51.33183967992259	52.33751664746165
ENSG00000002834.19	LASP1	6971.430207194791	7532.4028549472705	6994.483240258585	7801.698412155891	7892.270350788098	6145.040189901967
