gene_id	gene_symbol	SRR36692424	SRR36692425	SRR36692426	SRR36692433	SRR36692434	SRR36692435	SRR36692440	SRR36692441	SRR36692445	SRR36692446	SRR36692447	SRR36692448	SRR36692449	SRR36692450	SRR36692454	SRR36692455	SRR36692456	SRR36692460	SRR36692462	SRR36692469	SRR36692470
ENSG00000000003.16	TSPAN6	2191.3371684993654	2028.8576743252686	2281.2591239178278	3755.111295191153	3306.909793778285	3742.9983564830595	3532.5633005219606	3320.646083072675	2977.3800681779653	3153.617723404611	3570.4927166446987	3199.169984602856	3111.9438463185456	2948.229154610146	2400.045714345711	2848.1225119488076	2594.980064572965	3124.063565310692	2731.2375237015335	2999.080863368041	3060.943380854379
ENSG00000000005.6	TNMD	9.8119574708926809	10.081280369318105	5.069464719817395	167.3023881823231	204.32101010364272	178.31556233843594	20.397334106225685	22.279984901801566	29.728757110400256	16.37392379753173	15.864708882111834	7.626150142080705	22.45917902943523	2.6793963840746553	7.6651566462425125	35.570866858964436	10.042492509957295	14.83675186849839	37.992484873746214	4.0148338197698	35.045449976639475
ENSG00000000419.14	DPM1	566.9130983182438	622.519062805393	641.2872870569004	439.39857995137606	479.0383346127422	468.1801294274003	617.0193567133269	463.2380194166242	383.7712281524397	487.94292916644554	421.81461263026756	628.204117953898	565.9713115417678	595.7191293925983	551.8912785294609	466.10101401401676	610.5835446054035	738.1284054577949	833.3018348975003	848.1336444263703	891.814477037115
ENSG00000000457.14	SCYL3	304.17068159767314	351.58465287996887	344.72360094758284	278.5308990068346	262.69844156182637	273.5800408480113	374.8010142018969	280.356476681003	184.67864265551674	236.87609760429234	276.23257818265313	382.2607758717954	366.53380176038297	297.41299863228676	321.0848950703808	272.3011187134519	287.21528578477864	336.6088080165572	173.07687553595497	222.8232769972239	283.13034586390313
ENSG00000000460.17	FIRRM	301.9902466041414	307.4790512642022	311.77208026876974	274.85392344238795	204.32101010364272	216.5841990046756	345.47984642419755	310.9914559209802	345.03375676616054	354.7683489465208	327.5595775071326	322.2048435029098	361.1435987933185	342.9627371615559	424.9903518305571	569.133869743431	408.7294451552619	458.08471393988776	391.7447329204054	443.6391370845629	468.502331266654
ENSG00000001036.14	FUCA2	724.9946353492926	785.0797087606473	930.2467760864919	1319.11498374524	1616.539756408232	1590.9982137411134	1543.8232251649565	1598.5889167042624	2325.1491546043353	2392.7760642793032	2269.586588311528	1198.2588410744308	1184.0479184318253	1180.720673248898	2020.1946183208045	2140.384919616998	1920.1245679038348	1346.4352320662288	1518.8551175082098	1488.4996386796533	1446.085935878176
ENSG00000001084.13	GCLC	612.7022331824097	575.8931410972967	590.5926398587264	358.50511753354954	403.49107037273984	426.65458751297	458.9400173900779	304.4931269912881	382.8703567248518	340.57761498865995	290.23085072569296	571.0079918882928	493.20357148639766	532.3067483028316	401.1431978200248	375.3339744428661	381.6147153783772	429.33850719467216	420.4501659361248	454.67993008892984	459.27984443069624
ENSG00000001167.15	NFYA	1031.3457519404974	980.4045159161857	1021.497141043205	966.1253295583604	1086.8504150891247	857.3803065861782	871.986033041148	1099.1459218222105	614.3943136149386	770.6660134038267	640.1876643016893	1008.5583562901733	1032.2238681928432	1130.7052740795045	1063.7534056840998	917.4830486381171	874.7010976172803	944.9156346249912	817.260563506363	792.9296794045355	647.4185758842344
ENSG00000001460.18	STPG1	233.30654430789264	206.66624757102113	254.74060217082408	539.5961640825476	538.2742577100167	482.02197673221036	209.07267458881327	276.6431458640361	499.0827708836892	538.1562954788761	450.7443758858833	198.27990369409832	250.6444379684972	247.39759946289317	413.91845889709566	317.6846384990272	346.46599159352667	292.09855241106203	281.144388065722	198.7342740786051	320.9425418913299
ENSG00000001461.17	NIPAL3	416.463083764556	496.50305818891667	447.38026152388505	1138.0239371962418	1176.133545554582	1060.9368845980914	304.6851782117462	380.61640873911006	1383.7385127749938	1416.8902059464124	1285.9746376205944	311.71888705754884	256.93300809673906	264.367109895366	584.2552732580403	556.8680535851673	579.4518178245359	491.46740564400915	483.77097405903515	465.72072309329684	432.53463260641877
ENSG00000001497.18	LAS1L	223.49458683699996	282.2758503409069	283.8900243097741	268.4192162046063	254.97201681000794	331.3901090033946	350.57917995075394	428.8897093596801	313.50325680058455	390.7909813010906	360.22221344089223	423.25133288547914	543.5121325123326	602.8641864167975	322.78826321399026	320.13780173067994	352.49148709950106	471.06687182482386	441.5571019770949	489.80972601191564	451.90185496193004
